Email,Client,Project,Start date,Start time,Duration
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-17,05:07:00,01:10:11
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-17,07:24:00,01:00:00
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-17,18:14:00,01:00:00
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-18,08:04:00,00:55:12
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-18,10:27:00,02:10:48
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-18,21:54:00,00:54:00
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-19,08:21:00,01:55:11
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-19,17:58:00,01:54:00
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-22,10:39:00,03:03:00
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-23,10:39:00,01:34:12
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-24,07:28:00,02:51:00
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-24,11:11:00,01:01:48
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-25,23:19:00,00:39:00
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-28,15:27:00,04:37:12
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-28,21:24:00,02:13:48
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-29,19:12:00,02:09:00
ADD YOUR EMAIL HERE,ADD YOUR CLIENT HERE,ADD YOUR PROJECT DESCRIPTION,2013-04-30,22:16:00,01:18:00
